model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,ids_detections,ids_quarantine,ids_patch,ids_monitor,ids_first_step,ids_max_level,ids_increases,n_sensitive,n_hosts
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,21,1000021,277.4999873533775,400,33,297.99998774528467,32,297.4999873578523,33,277.4999873533775,33,False,True,10,0,5,5,47,3.790508837844758,175,36,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,22,1000022,226.49998847693348,400,30,245.49998926520365,28,246.4999884814027,30,226.49998847693348,30,False,True,19,3,7,9,21,7.592656514108783,238,32,90
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,23,1000023,198.999989633264,400,27,212.99999080300356,24,218.99998964071347,27,198.999989633264,27,False,True,26,1,9,16,37,14.120087204830533,226,30,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,24,1000024,75.39999192059221,400,21,151.89999233484292,20,95.89999192804169,21,75.39999192059221,21,False,True,75,4,26,45,17,25.675760274409107,267,28,80
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,25,1000025,197.49998962581338,400,27,234.99999003261348,26,217.49998963326286,27,197.49998962581338,27,False,True,29,2,6,21,33,14.78283865268084,222,29,88
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,26,1000026,193.99999039322321,400,25,233.99999040961285,25,213.99999039918256,25,193.99999039322321,25,False,True,14,1,3,10,33,2.74286616106608,182,30,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,27,1000027,224.49998963028247,400,27,259.99998963475224,27,244.49998963326158,27,224.49998963028247,27,False,True,2,1,0,1,160,1.8088430214959998,178,29,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,28,1000028,282.49998734890687,400,33,302.99998773932396,32,302.4999873518916,33,282.49998734890687,33,False,True,3,1,1,1,70,1.389893021496,196,35,80
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,29,1000029,313.4999862089682,400,36,345.4999862149354,36,333.49998621344304,36,313.4999862089682,36,False,True,4,0,3,1,78,1.389893021496,207,38,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,30,1000030,221.49998884797208,400,29,265.9999892458321,28,241.49998885393143,29,221.49998884797208,29,False,True,24,1,8,15,46,6.217608687866105,241,29,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,31,1000031,331.4999854400686,400,38,341.99998622089595,36,351.4999854445434,38,331.4999854400686,38,False,True,5,1,1,3,38,1.389893021496,218,41,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,32,1000032,241.99998772740065,400,32,306.99998773783415,32,261.9999877303814,32,241.99998772740065,32,False,True,28,3,7,18,57,7.213958896289422,236,36,89
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,33,1000033,228.89998897314038,400,30,248.89999013990183,27,252.89998898506022,30,228.89998897314038,30,False,True,26,1,9,16,21,15.99858546073392,206,34,77
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,34,1000034,295.9999865874579,400,35,327.49998660385575,35,316.4999865919327,35,295.9999865874579,35,False,True,13,0,5,8,27,7.213958896289422,233,38,88
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,35,1000035,250.99998848884758,400,30,278.99998887926324,29,270.9999884903408,30,250.99998848884758,30,False,True,6,1,1,4,77,1.8088430214959998,210,33,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,36,1000036,193.99999039024297,400,25,219.4999907851221,24,213.99999039769244,25,193.99999039024297,25,False,True,11,1,4,6,24,9.072503383826607,199,30,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,37,1000037,231.49998811483488,400,31,230.999989654124,27,251.49998811632386,31,231.49998811483488,31,False,True,23,4,6,13,50,9.072503383826607,221,35,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,38,1000038,336.3999850585989,400,39,364.89998545348624,38,356.3999850615836,39,336.3999850585989,39,False,True,9,1,3,5,45,2.74286616106608,199,39,89
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,39,1000039,258.49998858719414,400,31,283.4999889820815,30,278.49998859166897,31,258.49998858719414,31,False,True,5,1,3,1,40,1.019943021496,183,32,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,40,1000040,218.99998925030417,400,28,223.99999040812276,25,238.99998925179315,28,218.99998925030417,28,False,True,18,1,5,12,47,15.99858546073392,225,31,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,41,1000041,278.499987347417,400,33,302.49998774230437,32,302.49998735040174,33,278.499987347417,33,False,True,8,1,2,5,38,3.3881492578447583,198,36,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,42,1000042,246.4999882131774,400,31,283.9999881237744,31,266.4999882161594,31,246.4999882131774,31,False,True,11,3,3,5,39,4.949498661087863,192,37,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,43,1000043,268.4999877095155,400,32,290.4999881312249,31,288.9999877139903,32,268.4999877095155,32,False,True,11,1,1,9,59,2.74286616106608,209,36,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,44,1000044,236.9999888628715,400,29,258.9999892547728,28,256.99998886585087,29,236.9999888628715,29,False,True,11,0,5,6,24,3.812698661087863,197,31,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,45,1000045,259.9999884903359,400,30,289.9999885007734,30,279.99998849332064,30,259.9999884903359,30,False,True,0,0,0,0,-1,0.65097774,178,32,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,46,1000046,211.89998887330412,400,29,264.3999888852237,29,231.8999888747931,29,211.89998887330412,29,False,True,34,3,5,26,19,22.19491992695908,219,35,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,47,1000047,205.49998924881405,400,28,247.49998965710427,27,225.49998925775364,28,205.49998924881405,28,False,True,24,1,12,11,46,4.949498661087863,231,32,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,48,1000048,222.99998925775475,400,28,255.49998926520365,28,242.99998926073386,28,222.99998925775475,28,False,True,10,1,5,4,59,1.84719516106608,193,31,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,49,1000049,216.99998925626466,400,28,237.99999002814315,26,236.99998925775364,28,216.99998925626466,28,False,True,13,1,8,4,45,3.790508837844758,211,30,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,50,1000050,250.99998734891258,400,33,67.49999693632155,8,243.99998888969483,29,250.99998734891258,33,False,True,18,5,5,8,22,10.655053316150076,193,36,92
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,51,1000051,213.99998811632534,400,31,99.99999579042236,11,179.99999235123485,20,213.99998811632534,31,False,True,40,4,12,24,205,12.338252249827073,180,35,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,52,1000052,151.39998886287393,400,29,229.39998965710424,27,181.39998886883328,29,151.39998886287393,29,False,True,59,5,31,23,28,39.083111663176595,261,32,88
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,53,1000053,179.99998923689316,400,28,252.4999896526339,27,199.99998924136239,28,179.99998923689316,28,False,True,42,4,14,24,47,14.120087204830533,236,32,78
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,54,1000054,52.49999077916246,400,24,140.49999272227316,19,108.99999077916215,24,52.49999077916246,24,False,True,100,9,38,53,27,38.26198305360172,278,32,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,55,1000055,138.49998963177381,400,27,101.49999386370209,16,158.9999896332628,27,138.49998963177381,27,False,True,63,6,22,35,22,51.43169214079121,270,34,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,56,1000056,281.49998735933826,400,33,291.99998812973496,31,301.4999873638131,33,281.49998735933826,33,False,True,5,1,1,3,11,1.8088430214959998,208,37,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,57,1000057,209.89998962879363,400,27,247.8999896407129,27,229.89998963475298,27,209.89998962879363,27,False,True,13,1,6,6,45,4.5551862726878625,201,29,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,58,1000058,161.49998925775463,400,28,144.99999348670266,17,171.49998964518372,27,161.49998925775463,28,False,True,49,5,21,23,19,15.99858546073392,222,33,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,59,1000059,270.499987351894,400,33,49.99999770224085,6,87.99999579042216,11,270.499987351894,33,False,True,12,1,6,5,175,8.262887739835953,140,34,78
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,60,1000060,235.899988093973,400,31,228.8999896481635,27,255.899988095462,31,235.899988093973,31,False,True,20,3,7,10,27,15.251821768879047,228,33,90
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,61,1000061,266.3999877259064,400,32,288.89998811632347,31,286.399987727401,32,266.3999877259064,32,False,True,6,1,4,1,49,2.361501257844758,206,34,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,62,1000062,265.499987733357,400,32,295.4999877408143,32,285.4999877378318,32,265.499987733357,32,False,True,5,2,2,1,78,1.84719516106608,182,34,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,63,1000063,237.99998849332133,400,30,278.4999884977933,30,257.99998849481085,30,237.99998849332133,30,False,True,17,1,6,10,37,5.831182547234104,200,34,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,64,1000064,200.89998924583352,400,28,235.39999041408322,25,221.39998925477312,28,200.89998924583352,28,False,True,36,2,8,26,51,26.7746990978515,253,36,89
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,65,1000065,215.99998963773436,400,27,250.99998964369314,27,235.99998963922334,27,215.99998963773436,27,False,True,7,2,1,4,40,6.217608687866105,178,28,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,66,1000066,191.49998887479452,400,29,258.99998926222315,28,211.4999888762835,29,191.49998887479452,29,False,True,36,6,9,21,46,13.35808343763168,222,30,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,67,1000067,197.4999892592443,400,28,67.9999969318509,8,78.49999578446203,11,197.4999892592443,28,False,True,34,1,14,19,91,13.770788579886107,156,32,80
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,68,1000068,219.99998933971105,400,29,190.49999203383942,22,239.99998934865064,29,219.99998933971105,29,False,True,15,3,6,6,47,2.74286616106608,240,33,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,69,1000069,249.49998772888915,400,32,249.4999892711641,28,271.4999877333623,32,249.49998772888915,32,False,True,19,2,8,9,21,7.592656514108783,230,35,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,70,1000070,227.49998924881356,400,28,260.49998927414435,28,247.49998925179267,28,227.49998924881356,28,False,True,7,1,3,3,65,1.84719516106608,206,32,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,71,1000071,242.99998848735999,400,30,264.99998887777343,29,262.9999884918312,30,242.99998848735999,30,False,True,10,1,5,4,41,10.291352123996361,202,31,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,72,1000072,169.99999115318244,400,23,190.49999154508131,22,189.99999115616154,23,169.99999115318244,23,False,True,13,1,6,6,45,4.5551862726878625,218,24,79
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,73,1000073,163.49999153018175,400,22,186.9999919205905,21,183.4999915301806,22,163.49999153018175,22,False,True,15,1,3,11,19,9.072503383826607,218,26,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,74,1000074,243.9999884977908,400,30,249.99998965561412,27,263.9999885022622,30,243.9999884977908,30,False,True,8,2,2,4,34,1.8088430214959998,214,37,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,75,1000075,254.49998820125415,400,31,277.4999885931609,30,274.49998820274834,31,254.49998820125415,31,False,True,13,1,3,9,33,6.217608687866105,220,32,89
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,76,1000076,320.49998582749856,400,37,350.99998583495585,37,340.9999858304833,37,320.49998582749856,37,False,True,7,1,1,5,73,6.217608687866105,203,41,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,77,1000077,260.4999873459271,400,33,290.49998774379463,32,280.9999873548722,33,260.4999873459271,33,False,True,14,3,6,5,44,4.089296232687863,212,34,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,78,1000078,207.89998887330478,400,29,234.89999002963324,26,227.899988877774,29,207.89998887330478,29,False,True,30,2,12,16,24,9.072503383826607,228,32,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_ids_branch,79,1000079,206.99998923987317,400,28,248.9999896392228,27,226.9999892443424,28,206.99998923987317,28,False,True,24,1,11,12,25,17.971813751519242,215,31,86
