model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,ids_detections,ids_quarantine,ids_patch,ids_monitor,ids_first_step,ids_max_level,ids_increases
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,0,1000000,252.4999885037484,400,30,274.49998889118433,29,272.49998850673217,30,252.4999885037484,30,False,True,6,0,3,3,18,2.33229516106608,217
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,1,1000001,234.99998887330193,400,29,270.4999888822433,29,254.9999888733008,29,234.99998887330193,29,False,True,15,1,2,12,63,4.949498661087863,235
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,2,1000002,264.49998696445715,400,34,326.4999869748946,34,284.4999869674419,34,264.49998696445715,34,False,True,23,3,7,13,77,7.213958896289422,256
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,3,1000003,263.9999873533777,400,33,281.9999885067342,30,283.99998735785255,33,263.9999873533777,33,False,True,13,2,7,4,60,3.3881492578447583,227
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,4,1000004,223.99998963028372,400,27,233.9999904081227,25,243.99998963624307,27,223.99998963028372,27,False,True,6,0,2,4,39,3.790508837844758,216
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,5,1000005,209.4999897331015,400,28,146.9999938666821,16,229.49998973906085,28,209.4999897331015,28,False,True,25,1,9,15,88,12.338252249827073,228
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,6,1000006,224.4999896258132,400,27,254.49998963475224,27,244.4999896273022,27,224.4999896258132,27,False,True,2,1,0,1,79,0.9907581851999999,211
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,7,1000007,265.49998773335744,400,32,291.49998812377453,31,285.49998773932236,32,265.49998773335744,32,False,True,8,2,1,5,37,6.217608687866105,229
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,8,1000008,181.49999078065346,400,24,216.49999079406285,24,201.49999078214245,24,181.49999078065346,24,False,True,10,2,3,5,69,2.74286616106608,215
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,9,1000009,225.4999881118535,400,31,255.49998927414433,28,245.49998811334248,31,225.4999881118535,31,False,True,32,3,10,19,20,15.99858546073392,245
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,10,1000010,266.9999877318669,400,32,288.999988122284,31,286.99998773187144,32,266.9999877318669,32,False,True,8,0,6,2,69,6.217608687866105,226
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,11,1000011,308.4999863088059,400,37,339.99998670071307,36,328.4999863117906,37,308.4999863088059,37,False,True,10,2,5,3,38,2.74286616106608,209
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,12,1000012,227.4999888777746,400,29,263.49998888671416,29,247.49998888224383,29,227.4999888777746,29,False,True,12,3,2,7,31,4.949498661087863,226
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,13,1000013,178.4999911516923,400,23,197.9999919235708,21,198.49999115467142,23,178.4999911516923,23,False,True,8,1,2,5,39,3.790508837844758,225
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,14,1000014,266.4999877318672,400,32,272.99998888969395,29,286.499987736342,32,266.4999877318672,32,False,True,12,0,5,7,27,7.592656514108783,225
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,15,1000015,307.4999865859676,400,35,327.49998697489457,34,327.4999865874622,35,307.4999865859676,35,False,True,2,0,1,1,69,1.8088430214959998,218
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,16,1000016,247.99998849778902,400,30,270.4999888837335,29,267.99998849779126,30,247.99998849778902,30,False,True,12,0,4,8,39,4.949498661087863,206
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,17,1000017,230.99998897314128,400,29,267.49998888969435,29,250.9999889761204,29,230.99998897314128,29,False,True,14,1,5,8,50,4.240137808034105,222
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,18,1000018,233.4999892503026,400,28,253.49998963773268,27,253.49998925030147,28,233.4999892503026,28,False,True,4,1,0,3,57,1.8088430214959998,232
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,19,1000019,259.9999877318671,400,32,284.9999881252644,31,279.99998773485186,32,259.9999877318671,32,False,True,13,2,3,8,23,7.592656514108783,231
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,20,1000020,249.99998811333845,400,31,269.999988506734,30,269.99998811632145,31,249.99998811333845,31,False,True,7,3,2,2,74,3.549071232687863,215
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,21,1000021,264.49998734592714,400,33,299.9999877452848,32,284.49998735487225,33,264.49998734592714,33,False,True,15,3,3,9,53,6.217608687866105,234
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,22,1000022,223.49998848140416,400,30,229.49999002963324,26,243.4999884873635,30,223.49998848140416,30,False,True,22,4,5,13,21,7.592656514108783,261
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,23,1000023,192.99998963475414,400,27,206.99999078810237,24,212.99998963624313,27,192.99998963475414,27,False,True,20,4,6,10,31,4.949498661087863,249
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,24,1000024,132.8999919220823,400,21,156.39999270439165,19,153.3999919250614,21,132.8999919220823,21,False,True,23,4,5,14,24,26.099683866488732,245
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_escalate_privilege,25,1000025,205.99998963624424,400,27,214.99999079108258,24,225.9999896362431,27,205.99998963624424,27,False,True,15,2,5,8,52,4.5551862726878625,233
