model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,n_sensitive,n_hosts
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,0,1000000,74.79999463409271,400,14,51.09999731779097,7,80.59999540895241,12,74.79999463409271,14,False,True,27,78
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,1,1000001,12.999995408951948,400,12,64.99999693632121,8,37.09999617189152,10,12.999995408951948,12,False,True,26,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,2,1000002,78.19999463260179,400,14,40.69999770075071,6,34.799997319280784,7,78.19999463260179,14,False,True,33,90
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,3,1000003,65.39999462515063,400,14,30.79999770224087,6,64.79999579042172,11,65.39999462515063,14,False,True,27,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,4,1000004,56.89999538958121,400,12,83.99999617338176,10,85.39999540895235,12,56.89999538958121,12,False,True,24,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,5,1000005,51.699994628130874,400,14,27.199997320771224,7,46.29999579191188,11,51.699994628130874,14,False,True,29,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,6,1000006,108.99999310374356,400,18,39.299997699260636,6,131.59999350309363,17,108.99999310374356,18,False,True,27,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,7,1000007,124.19999271333353,400,19,85.09999617487192,10,144.49999312013412,18,124.19999271333353,19,False,True,27,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,8,1000008,46.799995774030094,400,11,26.2999980866908,5,42.99999693781113,8,46.799995774030094,11,False,True,19,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,9,1000009,70.99999463558271,400,14,90.39999579191209,11,73.9999954104426,12,70.99999463558271,14,False,True,27,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,10,1000010,-30.20000268071918,400,7,21.199998463690257,4,-8.900002299249223,6,-30.20000268071918,7,False,True,32,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,11,1000011,87.79999396801075,400,17,65.39999693930146,8,90.29999512583034,14,87.79999396801075,17,False,True,30,88
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,12,1000012,98.39999424070211,400,15,85.49999617487187,10,101.19999502599251,13,98.39999424070211,15,False,True,22,80
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,13,1000013,113.39999349564428,400,17,106.29999541044243,12,104.19999502748297,13,113.39999349564428,17,False,True,26,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,14,1000014,109.69999348074289,400,17,63.79999693781136,8,104.5999946460129,14,109.69999348074289,17,False,True,27,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,15,1000015,47.99999388307354,400,16,64.09999655783164,9,75.29999502897284,13,47.99999388307354,16,False,True,31,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,16,1000016,58.69999502152232,400,13,61.799996939301415,8,58.59999617487179,10,58.69999502152232,13,False,True,25,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,17,1000017,71.1999950036414,400,13,63.09999693930141,8,77.29999578893174,11,71.1999950036414,13,False,True,28,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,18,1000018,115.79999346882208,400,17,72.99999655634163,9,128.4999938800933,16,115.79999346882208,17,False,True,26,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,19,1000019,45.69999501556104,400,13,46.29999769926063,6,21.599996936321027,8,45.69999501556104,13,False,True,25,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,20,1000020,-71.60000038593978,400,1,-28.00000000447033,0,-40.500000004470465,0,-71.60000038593978,1,False,True,29,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,21,1000021,80.69999462217174,400,14,75.29999655485146,9,99.39999502897264,13,80.69999462217174,14,False,True,24,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,22,1000022,107.4999931097042,400,18,84.89999617189169,10,116.59999426454323,15,107.4999931097042,18,False,True,26,90
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,23,1000023,29.399995778500884,400,11,-4.200001150369626,3,20.599997317791036,7,29.399995778500884,11,False,True,22,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,24,1000024,-21.000002679229173,400,7,37.09999770224083,6,18.099997702240685,6,-21.000002679229173,7,False,True,27,80
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,25,1000025,72.399994644523,400,14,74.59999655932191,9,61.49999617785248,10,72.399994644523,14,False,True,23,88
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,26,1000026,88.4999946311126,400,14,64.89999693632119,8,90.69999541044245,12,88.4999946311126,14,False,True,24,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,27,1000027,114.5999934673321,400,17,102.69999541193252,12,128.4999938756231,16,114.5999934673321,17,False,True,23,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,28,1000028,143.8999923408042,400,20,75.59999655783182,9,106.99999464899325,14,143.8999923408042,20,False,True,29,80
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,29,1000029,-51.70000000000049,400,0,-21.70000000000007,0,-31.700000000000212,0,-51.70000000000049,0,False,True,26,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,30,1000030,63.39999463707303,400,14,80.59999617338177,10,75.69999541044258,12,63.39999463707303,14,False,True,25,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,31,1000031,85.99999387115308,400,16,61.299996937811265,8,93.09999503046284,13,85.99999387115308,16,False,True,30,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,32,1000032,56.99999538660116,400,12,85.39999617636202,10,90.5999954119326,12,56.99999538660116,12,False,True,26,89
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,33,1000033,18.999996531009256,400,9,35.599998082220516,5,51.39999693185068,8,18.999996531009256,9,False,True,22,77
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,34,1000034,90.19999348372272,400,17,49.099997319280995,7,80.09999502748235,13,90.19999348372272,17,False,True,30,88
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,35,1000035,29.49999614804936,400,10,33.799998079240275,5,57.699996551871145,9,29.49999614804936,10,False,True,23,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,36,1000036,31.59999539554081,400,12,10.199998463690287,4,52.89999579191198,11,31.59999539554081,12,False,True,22,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,37,1000037,-45.900000001490504,400,0,-15.400000001490087,0,-25.40000000149022,0,-45.900000001490504,0,False,True,28,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,38,1000038,119.29999271929313,400,19,34.599997705221064,6,94.39999464899286,14,119.29999271929313,19,False,True,27,89
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,39,1000039,62.59999502897222,400,13,17.79999846369026,4,35.99999693781128,8,62.59999502897222,13,False,True,25,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic_varB.v2.yaml,handmade_varB,40,1000040,68.49999464303323,400,14,74.59999655634165,9,55.89999617040158,10,68.49999464303323,14,False,True,23,85
