model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,ids_detections,ids_quarantine,ids_patch,ids_monitor,ids_first_step,ids_max_level,ids_increases,n_sensitive,n_hosts
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,21,1000021,219.49998735487128,400,33,305.99998774677493,32,273.9999873608327,33,219.49998735487128,33,False,True,57,1,25,31,48,12.338252249827073,262,36,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,22,1000022,182.99998847991407,400,30,224.49999003559373,26,227.9999884843833,30,182.99998847991407,30,False,True,58,4,20,34,38,15.99858546073392,285,32,90
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,23,1000023,135.9999896317739,400,27,214.99999079555297,24,189.99998963624313,27,135.9999896317739,27,False,True,68,8,16,44,34,36.66293633591364,291,30,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,24,1000024,34.39999192804094,400,21,56.39999501705171,13,63.89999192953134,21,34.39999192804094,21,False,True,97,8,34,55,17,42.24150605701146,300,28,80
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,25,1000025,124.49998962879363,400,27,200.9999908000233,24,185.49998963773322,27,124.49998962879363,27,False,True,70,8,23,39,32,20.03787747648886,283,29,88
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,26,1000026,135.499990390243,400,25,226.99999040961288,25,172.99999039471223,25,135.499990390243,25,False,True,56,2,25,29,30,15.656272808288385,257,30,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,27,1000027,184.9999896243233,400,27,231.99999040216227,25,218.99998963177276,27,184.9999896243233,27,False,True,33,2,13,18,29,14.120087204830533,262,29,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,28,1000028,267.99998734443676,400,33,306.9999877408142,32,294.9999873504017,33,267.99998734443676,33,False,True,17,1,6,10,82,10.655053316150076,241,35,80
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,29,1000029,272.4999858230283,400,37,297.49998774230437,32,309.9999858304833,37,272.4999858230283,37,False,True,34,5,12,17,46,12.332610151483992,260,38,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,30,1000030,151.49998886734429,400,29,240.49998964965363,27,215.99998887479376,29,151.49998886734429,29,False,True,59,7,25,27,37,17.636347352122616,283,29,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,31,1000031,267.9999854430488,400,38,344.99998622089595,36,310.4999854549741,38,267.9999854430488,38,False,True,51,6,13,32,38,15.99858546073392,262,41,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,32,1000032,202.99998772740273,400,32,259.49998926818375,28,256.9999877288918,32,202.99998772740273,32,False,True,58,6,14,38,33,22.19491992695908,276,36,89
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,33,1000033,208.99998849481435,400,30,255.49998927563448,28,240.4999885007737,30,208.99998849481435,30,False,True,39,2,15,22,25,8.701379718363633,271,34,77
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,34,1000034,232.9999865874618,400,35,292.4999877452847,32,274.9999865889526,35,232.9999865874618,35,False,True,55,6,15,34,36,22.19491992695908,277,38,88
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,35,1000035,172.499988961221,400,30,261.4999897465112,28,231.49998896867046,30,172.499988961221,30,False,True,61,6,20,35,35,15.99858546073392,280,33,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,36,1000036,147.99999037087147,400,25,181.99999153614067,22,178.99999037236046,25,147.99999037087147,25,False,True,46,3,17,26,20,11.981825081516435,270,30,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,37,1000037,169.9999881103653,400,31,220.4999900341036,26,197.49998849481415,30,169.9999881103653,31,False,True,56,9,21,26,19,22.19491992695908,268,35,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,38,1000038,329.9999850600887,400,39,379.9999850720163,39,363.9999850660536,39,329.9999850600887,39,False,True,16,1,5,10,121,13.770788579886107,241,39,89
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,shuffled,39,1000039,217.99998810440212,400,31,278.9999884992834,30,251.99998811036147,31,217.99998810440212,31,False,True,38,3,13,22,67,15.99858546073392,255,32,85
