model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,ids_detections,ids_quarantine,ids_patch,ids_monitor,ids_first_step,ids_max_level,ids_increases,n_sensitive,n_hosts
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,20,1000020,258.49998811333717,400,31,270.99998888820414,29,278.499988117812,31,258.49998811333717,31,False,True,8,1,2,5,21,4.5551862726878625,225,35,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,21,1000021,281.99998735486747,400,33,294.99998812526417,31,301.9999873608324,33,281.99998735486747,33,False,True,4,1,1,2,71,1.389893021496,192,36,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,22,1000022,258.4999884888464,400,30,288.49998850077395,30,278.4999884918311,30,258.4999884888464,30,False,True,3,0,0,3,46,2.74286616106608,207,32,90
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,23,1000023,219.49998963922425,400,27,256.4999896526337,27,239.49998964071324,27,219.49998963922425,27,False,True,9,1,1,7,30,1.8088430214959998,214,30,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,24,1000024,157.49999231100273,400,20,177.99999269992136,19,177.4999923124917,20,157.49999231100273,20,False,True,2,0,1,1,39,0.9907581851999999,177,28,80
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,25,1000025,228.99998963177387,400,27,228.99999078959246,24,248.9999896362431,27,228.99998963177387,27,False,True,2,0,0,2,59,0.9907581851999999,204,29,88
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,26,1000026,206.99999039918373,400,25,239.49999040961288,25,226.99999040216284,25,206.99999039918373,25,False,True,3,0,1,2,93,1.389893021496,188,30,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,27,1000027,229.89998963326403,400,27,249.99999002069254,26,249.99998963326289,27,229.89998963326403,27,False,True,0,0,0,0,-1,0.65097774,206,29,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,28,1000028,289.99998734890727,400,33,289.99998850524395,30,309.9999873548722,33,289.99998734890727,33,False,True,0,0,0,0,-1,0.65097774,201,35,80
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,29,1000029,329.4999858289885,400,37,339.4999866008753,35,339.49998621195283,36,329.4999858289885,37,False,True,1,0,0,1,50,0.9907581851999999,214,38,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,30,1000030,227.4999888762831,400,29,267.4999892652033,28,247.49998887628198,29,227.4999888762831,29,False,True,9,3,3,3,66,2.912751257844758,233,29,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,31,1000031,321.99998545049925,400,38,357.4999858453866,37,331.9999858364438,37,321.99998545049925,38,False,True,9,1,6,2,83,3.790508837844758,212,41,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,32,1000032,279.99998772739673,400,32,279.99998887628294,29,299.99998773038146,32,279.99998772739673,32,False,True,0,0,0,0,-1,0.65097774,212,36,89
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,33,1000033,246.99998888074919,400,29,269.4999892726538,28,266.99998888522146,29,246.99998888074919,29,False,True,3,0,1,2,74,1.8088430214959998,209,34,77
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,34,1000034,309.99998659341827,400,35,299.9999881222841,31,329.9999865949129,35,309.99998659341827,35,False,True,0,0,0,0,-1,0.65097774,191,38,88
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,35,1000035,257.49998849033625,400,30,277.49998888224343,29,277.499988493321,30,257.49998849033625,30,False,True,2,0,1,1,54,1.389893021496,212,33,87
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,36,1000036,207.99999040067382,400,25,229.99999078810234,24,227.9999904021628,25,207.99999040067382,25,False,True,1,0,1,0,188,0.9907581851999999,187,30,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,37,1000037,269.999988117807,400,31,289.9999885052439,30,289.99998811930163,31,269.999988117807,31,False,True,0,0,0,0,-1,0.65097774,198,35,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,38,1000038,349.49998506157885,400,39,339.49998659789514,35,359.4999854460333,38,349.49998506157885,39,False,True,1,0,0,1,98,0.9907581851999999,200,39,89
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,39,1000039,267.4999881163172,400,31,299.4999881222844,31,287.4999881178118,31,267.4999881163172,31,False,True,2,0,1,1,96,0.9907581851999999,194,32,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,40,1000040,239.49998925179193,400,28,249.99999002367278,26,259.999989253282,28,239.49998925179193,28,False,True,1,0,0,1,351,0.9907581851999999,212,31,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,41,1000041,279.99998773782767,400,32,289.99998850822436,30,299.9999877378322,32,279.99998773782767,32,False,True,0,0,0,0,-1,0.65097774,178,36,84
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,42,1000042,270.49998773633786,400,32,265.99998927116405,28,290.4999877393226,32,270.49998773633786,32,False,True,4,1,2,1,29,1.389893021496,206,37,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,43,1000043,278.49998773186735,400,32,278.49998888820403,29,288.4999881148317,31,278.49998773186735,32,False,True,3,0,0,3,89,2.74286616106608,224,36,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,44,1000044,249.9999888658474,400,29,269.9999892517925,28,269.99998886734033,29,249.9999888658474,29,False,True,0,0,0,0,-1,0.5388081353785358,188,31,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,45,1000045,259.9999884933163,400,30,279.9999888807532,29,279.99998849332087,30,259.9999884933163,30,False,True,0,0,0,0,-1,0.65097774,208,32,85
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,46,1000046,233.9999892547729,400,28,233.99999041408321,25,253.99998926222239,28,233.9999892547729,28,False,True,6,0,2,4,41,3.790508837844758,211,35,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,47,1000047,220.99998963475412,400,27,238.9999904125931,25,241.49998964071347,27,220.99998963475412,27,False,True,9,1,0,8,90,7.592656514108783,202,32,86
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,48,1000048,233.499989262224,400,28,243.49999002814315,26,253.49998926222287,28,233.499989262224,28,False,True,4,1,0,3,56,1.389893021496,201,31,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,49,1000049,232.49998925924322,400,28,252.49998964816353,27,252.49998925924208,28,232.49998925924322,28,False,True,3,1,1,1,59,1.389893021496,198,30,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,50,1000050,298.49998696594827,400,34,248.49999003261345,26,308.4999873533829,33,298.49998696594827,34,False,True,3,0,0,3,43,0.9907581851999999,219,36,92
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,51,1000051,257.99998849927715,400,30,267.9999892756342,28,277.99998850673217,30,257.99998849927715,30,False,True,1,0,1,0,15,0.9907581851999999,191,35,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,52,1000052,247.49998887478876,400,29,277.4999888837337,29,267.49998887777105,29,247.49998887478876,29,False,True,2,0,1,1,40,0.9907581851999999,190,32,88
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,53,1000053,237.99998926371146,400,28,269.9999892666933,28,259.99998926371086,28,237.99998926371146,28,False,True,1,0,1,0,217,1.015523770296,194,32,78
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,54,1000054,193.99999077022264,400,24,183.99999230355047,20,213.99999077171162,24,193.99999077022264,24,False,True,6,0,2,4,13,3.790508837844758,196,32,81
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,55,1000055,229.499989633264,400,27,239.99999040514248,25,249.9999896362431,27,229.499989633264,27,False,True,1,0,0,1,346,0.9907581851999999,202,34,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,56,1000056,281.49998735784834,400,33,271.499988900125,29,301.49998736530335,33,281.49998735784834,33,False,True,5,1,1,3,11,1.8088430214959998,213,37,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,57,1000057,219.99999001473375,400,26,239.99999040812276,25,239.99999001771286,26,219.99999001473375,26,False,True,0,0,0,0,-1,0.65097774,201,29,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,58,1000058,223.99998926371518,400,28,223.99999042004364,25,243.99998926520416,28,223.99998926371518,28,False,True,5,3,0,2,44,1.8088430214959998,179,33,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,59,1000059,279.4999877393192,400,32,179.4999927192928,19,299.4999877393237,32,279.4999877393192,32,False,True,1,0,0,1,93,0.9907581851999999,201,34,78
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,60,1000060,247.4999888688284,400,29,279.99998888671394,29,267.4999888733008,29,247.4999888688284,29,False,True,2,0,1,1,106,1.8088430214959998,194,33,90
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,61,1000061,279.99998772888677,400,32,289.9999884948132,30,299.9999877303814,32,279.99998772888677,32,False,True,0,0,0,0,-1,0.65097774,197,34,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,62,1000062,266.999988120788,400,31,246.99999002963324,26,286.9999881222826,31,266.999988120788,31,False,True,3,0,1,2,76,2.74286616106608,197,34,82
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,63,1000063,249.99998888074836,400,29,269.99998926669343,28,269.9999888807512,29,249.99998888074836,29,False,True,0,0,0,0,-1,0.65097774,182,34,83
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,no_recurrent_memory,64,1000064,235.4999892547717,400,28,259.99998965114344,27,255.49998926222116,28,235.4999892547717,28,False,True,6,0,1,5,127,5.831182547234104,225,36,89
