model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,ids_detections,ids_quarantine,ids_patch,ids_monitor,ids_first_step,ids_max_level,ids_increases
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,21,1000021,252.49998734890863,400,33,291.99998774528507,32,272.4999873578527,33,252.49998734890863,33,False,True,18,5,4,9,53,2.912751257844758,234
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,22,1000022,223.49998848140416,400,30,229.49999002963324,26,243.4999884873635,30,223.49998848140416,30,False,True,22,4,5,13,21,7.592656514108783,262
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,23,1000023,204.49998963624427,400,27,239.49999002665302,26,224.4999896407135,27,204.49998963624427,27,False,True,18,1,8,9,32,6.217608687866105,234
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,24,1000024,132.8999919220823,400,21,156.39999270439165,19,153.3999919250614,21,132.8999919220823,21,False,True,23,4,5,14,24,26.099683866488732,245
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,25,1000025,205.99998963475412,400,27,214.99999079108258,24,225.9999896362431,27,205.99998963475412,27,False,True,15,2,5,8,52,4.5551862726878625,234
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,26,1000026,183.99999077767322,400,24,218.99999079555297,24,203.99999078214245,24,183.99999077767322,24,False,True,11,1,4,6,36,3.3881492578447583,214
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,27,1000027,219.49998962879366,400,27,239.99999001920241,26,239.49998963326289,27,219.49998962879366,27,False,True,6,1,2,3,39,3.3881492578447583,219
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,28,1000028,285.4999873444367,400,33,315.49998735785437,33,305.4999873518917,33,285.4999873444367,33,False,True,3,0,2,1,82,2.74286616106608,225
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,29,1000029,303.99998582600864,400,37,289.9999877467748,32,313.99998621195317,36,303.99998582600864,37,False,True,16,2,6,8,50,6.217608687866105,264
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,30,1000030,228.4999888718133,400,29,264.49998926222304,28,248.49998887628252,29,228.4999888718133,29,False,True,16,1,6,9,67,6.217608687866105,239
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,31,1000031,334.9999854490093,400,38,347.99998622685644,36,354.9999854534841,38,334.9999854490093,38,False,True,4,0,2,2,52,1.389893021496,224
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,32,1000032,264.49998810439604,400,31,294.9999881207939,31,284.49998811036096,31,264.49998810439604,31,False,True,5,0,2,3,79,4.5551862726878625,237
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,33,1000033,229.9999888837347,400,29,255.99998927563448,28,249.99998888820392,29,229.9999888837347,29,False,True,13,2,3,8,27,3.790508837844758,216
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,34,1000034,289.4999865949084,400,35,270.99998889118393,29,299.49998697936286,34,289.4999865949084,35,False,True,17,0,8,9,62,7.592656514108783,219
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,35,1000035,184.99998922944255,400,28,232.49999000877165,26,204.99998923242165,28,184.99998922944255,28,False,True,35,4,13,18,35,9.072503383826607,250
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,36,1000036,176.49999039471334,400,25,191.9999919295313,21,196.49999039769244,25,176.49999039471334,25,False,True,22,4,3,15,42,15.99858546073392,240
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,37,1000037,256.49998811333734,400,31,256.9999892756344,28,276.49998811781217,31,256.49998811333734,31,False,True,12,0,5,7,20,4.949498661087863,227
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,38,1000038,349.9999850571086,400,39,369.99998545199594,38,369.9999850630735,39,349.9999850571086,39,False,True,0,0,0,0,-1,0.7908190214959999,222
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,39,1000039,242.49998808800896,400,31,286.999988104403,31,262.49998809098986,31,242.49998808800896,31,False,True,16,3,4,9,40,7.592656514108783,215
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,40,1000040,197.99998925179426,400,28,236.49999003261348,26,217.99998925328325,28,197.99998925179426,28,False,True,27,3,10,14,37,9.072503383826607,261
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,41,1000041,274.49998735188734,400,33,305.9999873608347,33,294.4999873548721,33,274.49998735188734,33,False,True,10,1,4,5,73,4.089296232687863,213
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,42,1000042,265.4999880939652,400,31,296.9999881029126,31,285.49998809694995,31,265.4999880939652,31,False,True,6,0,1,5,40,4.949498661087863,207
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,43,1000043,267.49998773186724,400,32,287.4999881282447,31,287.49998773783216,32,267.49998773186724,32,False,True,7,2,0,5,59,3.790508837844758,229
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,44,1000044,218.99998923838317,400,28,230.99999002218263,26,238.99998924136227,28,218.99998923838317,28,False,True,12,1,7,4,35,12.338252249827073,260
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,45,1000045,255.99998848884607,400,30,275.9999888792631,29,265.9999888747906,29,255.99998848884607,30,False,True,2,0,2,0,88,1.389893021496,205
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,46,1000046,233.49998887479467,400,29,254.49998926520342,28,253.49998887777377,29,233.49998887479467,29,False,True,9,2,2,5,34,2.74286616106608,234
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,47,1000047,234.99998925626215,400,28,267.4999892622234,28,254.99998925775114,28,234.99998925626215,28,False,True,4,0,2,2,38,0.9907581851999999,203
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,48,1000048,228.99998925924373,400,28,259.49998926520345,28,248.99998926222284,28,228.99998925924373,28,False,True,7,1,2,4,67,1.8088430214959998,205
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_recover_or_replan,49,1000049,219.99998925775478,400,28,246.99998965412402,27,239.99998926073388,28,219.99998925775478,28,False,True,19,1,4,14,45,12.338252249827073,239
