model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,ids_detections,ids_quarantine,ids_patch,ids_monitor,ids_first_step,ids_max_level,ids_increases,n_sensitive,n_hosts
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,0,1000000,269.9999881237676,400,31,289.9999885112045,30,289.99998812526223,31,269.9999881237676,31,False,True,0,0,0,0,-1,0.0,0,35,78
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,1,1000001,249.9999888747881,400,29,269.99998926371336,28,269.9999888747909,29,249.9999888747881,29,False,True,0,0,0,0,-1,0.0,0,32,84
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,2,1000002,299.99998696445743,400,34,299.999988119304,31,319.99998696744217,34,299.99998696445743,34,False,True,0,0,0,0,-1,0.0,0,39,90
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,3,1000003,289.99998735784834,400,33,279.99998889118444,29,309.9999873608331,33,289.99998735784834,33,False,True,0,0,0,0,-1,0.0,0,37,85
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,4,1000004,229.9999896362438,400,27,219.9999911800029,23,249.99998963922292,27,229.9999896362438,27,False,True,0,0,0,0,-1,0.0,0,30,83
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,5,1000005,239.99998925030337,400,28,149.9999938681722,16,229.99999041110323,25,239.99998925030337,28,False,True,0,0,0,0,-1,0.0,0,33,83
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,6,1000006,229.9999896287921,400,27,259.9999896332618,27,249.99998962879096,27,229.9999896287921,27,False,True,0,0,0,0,-1,0.0,0,28,86
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,7,1000007,279.9999877378273,400,32,289.99998850375374,30,299.9999877378319,32,279.9999877378273,32,False,True,0,0,0,0,-1,0.0,0,36,82
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,8,1000008,199.99999078065346,400,24,219.99999117553259,23,219.99999078214245,24,199.99999078065346,24,False,True,0,0,0,0,-1,0.0,0,26,85
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,9,1000009,269.99998811184724,400,31,269.9999892786146,28,289.9999881163221,31,269.99998811184724,31,False,True,0,0,0,0,-1,0.0,0,35,85
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,10,1000010,279.99998773335705,400,32,299.99998811781376,31,299.9999877333616,32,279.99998773335705,32,False,True,0,0,0,0,-1,0.0,0,34,85
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,11,1000011,329.9999858319687,400,37,359.9999858364458,37,349.9999858334633,37,329.9999858319687,37,False,True,0,0,0,0,-1,0.0,0,40,88
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,12,1000012,249.99998887925824,400,29,269.9999892711637,28,269.99998888373136,29,249.99998887925824,29,False,True,0,0,0,0,-1,0.0,0,30,80
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,13,1000013,199.99999077618273,400,24,159.9999934777617,17,219.9999907761816,24,199.99999077618273,24,False,True,0,0,0,0,-1,0.0,0,28,86
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,14,1000014,279.9999877333571,400,32,299.999988120794,31,299.99998773634184,32,279.9999877333571,32,False,True,0,0,0,0,-1,0.0,0,37,84
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,15,1000015,309.9999865889478,400,35,339.9999865964051,35,329.99998659044246,35,309.9999865889478,35,False,True,0,0,0,0,-1,0.0,0,37,87
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,16,1000016,259.99998849778694,400,30,279.99998888671394,29,279.9999884977915,30,259.99998849778694,30,False,True,0,0,0,0,-1,0.0,0,31,81
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,17,1000017,249.99998888074848,400,29,279.9999888956545,29,269.9999888822414,29,249.99998888074848,29,False,True,0,0,0,0,-1,0.0,0,34,85
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,18,1000018,239.99998924433984,400,28,259.9999896377326,27,259.99998924881015,28,239.99998924433984,28,False,True,0,0,0,0,-1,0.0,0,31,87
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,19,1000019,279.99998773037737,400,32,279.99998888671405,29,299.9999877333621,32,279.99998773037737,32,False,True,0,0,0,0,-1,0.0,0,35,84
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,20,1000020,269.9999881148269,400,31,289.9999885082242,30,289.99998811930175,31,269.9999881148269,31,False,True,0,0,0,0,-1,0.0,0,35,83
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,21,1000021,289.9999873563577,400,33,309.9999877437946,32,309.9999873608325,33,289.9999873563577,33,False,True,0,0,0,0,-1,0.0,0,36,84
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,22,1000022,259.9999884858663,400,30,259.99998964816336,27,279.99998849034114,30,259.9999884858663,30,False,True,0,0,0,0,-1,0.0,0,32,90
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,23,1000023,229.9999896407146,400,27,209.99999156296278,22,249.99998964071347,27,229.9999896407146,27,False,True,0,0,0,0,-1,0.0,0,30,83
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,24,1000024,169.89999192953272,400,21,109.89999539554128,12,189.89999193400195,21,169.89999192953272,21,False,True,0,0,0,0,-1,0.0,0,28,80
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,25,1000025,229.99998963773345,400,27,259.99998965561406,27,249.9999896377323,27,229.99998963773345,27,False,True,0,0,0,0,-1,0.0,0,29,88
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,26,1000026,209.99999039918373,400,25,239.9999904051425,25,229.99999040216284,25,209.99999039918373,25,False,True,0,0,0,0,-1,0.0,0,30,83
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,27,1000027,229.8999896317739,400,27,239.99999040067215,25,249.99998963624313,27,229.8999896317739,27,False,True,0,0,0,0,-1,0.0,0,29,83
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,28,1000028,289.9999873474168,400,33,299.99998812079366,31,309.9999873518916,33,289.9999873474168,33,False,True,0,0,0,0,-1,0.0,0,35,80
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,29,1000029,329.9999858274988,400,37,309.9999877452848,32,349.9999858319736,37,329.9999858274988,37,False,True,0,0,0,0,-1,0.0,0,38,86
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,30,1000030,249.99998887627862,400,29,229.99999079406282,24,269.99998887926165,29,249.99998887627862,29,False,True,0,0,0,0,-1,0.0,0,29,85
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,31,1000031,339.9999854519896,400,38,339.9999866157767,35,359.9999854534842,38,339.9999854519896,38,False,True,0,0,0,0,-1,0.0,0,41,87
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,32,1000032,279.9999877273975,400,32,249.99999003708385,26,299.99998773038226,32,279.9999877273975,32,False,True,0,0,0,0,-1,0.0,0,36,89
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,33,1000033,259.99998849778683,400,30,279.9999888911841,29,279.99998850673194,30,259.99998849778683,30,False,True,0,0,0,0,-1,0.0,0,34,77
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,34,1000034,309.99998659490836,400,35,339.99998660236565,35,329.999986596403,35,309.99998659490836,35,False,True,0,0,0,0,-1,0.0,0,38,88
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,35,1000035,259.99998849182657,400,30,279.99998888671394,29,279.9999884933212,30,259.99998849182657,30,False,True,0,0,0,0,-1,0.0,0,33,87
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,36,1000036,209.99999039620346,400,25,209.99999155402205,22,229.99999039769244,25,209.99999039620346,25,False,True,0,0,0,0,-1,0.0,0,30,81
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,37,1000037,269.9999881148276,400,31,259.99998966157455,27,289.99998811632224,31,269.9999881148276,31,False,True,0,0,0,0,-1,0.0,0,35,86
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,38,1000038,349.9999850600887,400,39,379.9999850705262,39,369.99998506307344,39,349.9999850600887,39,False,True,0,0,0,0,-1,0.0,0,39,89
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,39,1000039,269.9999881148267,400,31,279.9999888807531,29,289.99998811483124,31,269.9999881148267,31,False,True,0,0,0,0,-1,0.0,0,32,85
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,40,1000040,239.99998925179034,400,28,259.9999896392227,27,259.99998925328043,28,239.99998925179034,28,False,True,0,0,0,0,-1,0.0,0,31,85
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,41,1000041,289.99998735337743,400,33,319.9999873608347,33,309.999987353382,33,289.99998735337743,33,False,True,0,0,0,0,-1,0.0,0,36,84
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,42,1000042,279.999987737828,400,32,279.9999888956548,29,299.99998773783256,32,279.999987737828,32,False,True,0,0,0,0,-1,0.0,0,37,86
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,43,1000043,279.99998773335744,400,32,289.9999885097145,30,299.9999877363422,32,279.99998773335744,32,False,True,0,0,0,0,-1,0.0,0,36,83
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,44,1000044,249.99998886584777,400,29,219.99999116361158,23,269.9999888673407,29,249.99998886584777,29,False,True,0,0,0,0,-1,0.0,0,31,86
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__no_ids.v2.yaml,no_ids_variant,45,1000045,259.9999884933168,400,30,279.99998888373386,29,279.9999884963015,30,259.9999884933168,30,False,True,0,0,0,0,-1,0.0,0,32,85
