model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit,ids_detections,ids_quarantine,ids_patch,ids_monitor,ids_first_step,ids_max_level,ids_increases
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,21,1000021,277.999987345927,400,33,301.4999877437946,32,297.99998735487213,33,277.999987345927,33,False,True,9,1,2,6,46,2.33229516106608,233
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,22,1000022,223.49998848140416,400,30,229.49999002963324,26,243.4999884873635,30,223.49998848140416,30,False,True,22,4,5,13,21,7.592656514108783,261
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,23,1000023,192.99998963475414,400,27,206.99999078810237,24,212.99998963624313,27,192.99998963475414,27,False,True,20,4,6,10,31,4.949498661087863,234
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,24,1000024,132.8999919220823,400,21,156.39999270439165,19,153.3999919250614,21,132.8999919220823,21,False,True,23,4,5,14,24,26.099683866488732,245
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,25,1000025,205.99998963624424,400,27,214.99999079108258,24,225.9999896362431,27,205.99998963624424,27,False,True,15,2,5,8,52,4.5551862726878625,221
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,26,1000026,183.99999077767322,400,24,218.99999079555297,24,203.99999078065233,24,183.99999077767322,24,False,True,11,1,4,6,36,3.3881492578447583,214
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,27,1000027,219.49998963028378,400,27,239.99999001920241,26,239.49998963326289,27,219.49998963028378,27,False,True,6,1,2,3,39,3.3881492578447583,215
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,28,1000028,284.4999873474167,400,33,304.4999877378338,32,304.49998735040145,33,284.4999873474167,33,False,True,2,1,0,1,70,1.389893021496,222
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,29,1000029,293.99998620747834,400,36,289.9999877467748,32,313.99998621195317,36,293.99998620747834,36,False,True,16,2,6,8,50,6.217608687866105,252
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,30,1000030,222.99998887479356,400,29,271.99998889118416,29,242.9999888792628,29,222.99998887479356,29,False,True,15,2,7,6,59,5.831182547234104,230
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,31,1000031,334.9999854490093,400,38,347.99998622685644,36,354.9999854534841,38,334.9999854490093,38,False,True,4,0,2,2,52,1.389893021496,220
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,32,1000032,267.4999877259065,400,32,294.9999881207939,31,277.49998811185105,31,267.4999877259065,32,False,True,10,0,5,5,79,4.949498661087863,235
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,33,1000033,237.4999888807514,400,29,269.9999888926744,29,259.9999888822415,29,237.4999888807514,29,False,True,13,0,4,9,27,6.217608687866105,232
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,34,1000034,295.9999865963985,400,35,270.99998889118393,29,305.99998697936286,34,295.9999865963985,35,False,True,16,0,4,12,62,7.592656514108783,225
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,35,1000035,200.99998923093267,400,28,237.49999000877165,26,220.99998923391178,28,200.99998923093267,28,False,True,33,1,12,20,35,6.217608687866105,263
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,36,1000036,175.99999039322321,400,25,186.4999919310214,21,195.99999039620232,25,175.99999039322321,25,False,True,23,2,9,12,42,15.99858546073392,238
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,37,1000037,256.49998811333734,400,31,256.9999892756344,28,276.49998811781217,31,256.49998811333734,31,False,True,12,0,5,7,20,4.949498661087863,225
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,38,1000038,349.9999850571086,400,39,369.99998545199594,38,369.9999850615834,39,349.9999850571086,39,False,True,0,0,0,0,-1,0.7908190214959999,209
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,39,1000039,242.49998808949906,400,31,286.999988104403,31,262.49998809247995,31,242.49998808949906,31,False,True,16,3,4,9,40,7.592656514108783,219
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,40,1000040,203.99998925030414,400,28,236.49999003261348,26,223.99998925179312,28,203.99998925030414,28,False,True,24,2,10,12,37,12.338252249827073,247
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,41,1000041,269.99998735188734,400,33,300.9999873623248,33,289.999987353382,33,269.99998735188734,33,False,True,10,2,4,4,62,3.549071232687863,210
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,42,1000042,264.49998811631696,400,31,297.49998812526434,31,284.4999881193017,31,264.49998811631696,31,False,True,5,0,2,3,40,4.949498661087863,208
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,43,1000043,265.49998773186724,400,32,285.4999881297348,31,285.49998773783216,32,265.49998773186724,32,False,True,8,2,1,5,59,3.790508837844758,228
pendhrl_c0_seed1_final,../scenarios/corp_100hosts_dynamic.v2.yaml,only_enumerate_host,44,1000044,225.4999888613838,400,29,229.999990026653,26,245.9999888718135,29,225.4999888613838,29,False,True,19,0,10,9,35,14.120087204830533,241
